i,success,f_si28_ag_s32,f_s32_ga_si28,f_mg24_ag_si28,f_ne20_ga_o16,X32,X28,XO16
110,1,1.0514780986077787,0.6110934866415905,2.545239649434012,0.7776690486420799,0.19209821951857942,0.24238579841198266,0.5652904224075626
111,1,1.176819465396091,0.38222105426921704,2.6941402252883453,0.47768749560443746,0.1962283793998368,0.23728187746797758,0.5658963666704416
112,1,1.875589517969797,2.158299339109717,2.3425809839767875,3.5013364285727446,0.2737180126175738,0.14721061265557941,0.5789115998838326
113,1,0.4454291080820919,1.32006298488784,1.09999546541968,1.3365174945547225,0.06799684948465168,0.386096675770252,0.5443050970698624
114,1,2.1354817366027876,1.0784711465801353,0.568753701854562,0.9350269090006901,0.12302232195943005,0.2874169535188668,0.5436273814147077
115,1,2.895815778584655,0.44289804115241077,1.0565870265858879,0.507703082611081,0.2055337831631758,0.20642849904917332,0.561741661466753
116,1,2.150967369597726,0.3202325059002068,0.7900854416142618,0.9177861726079876,0.19126367430743205,0.20627319248602993,0.5545652394515493
117,1,1.084113423394185,5.109349485530607,2.927862208679028,0.4909555552570175,0.07560457674481047,0.37811770036814923,0.5457982192569074
118,1,4.4444838865529945,0.4387730777215893,0.2746204339602256,0.35518562792258007,0.14770854255354132,0.1449325560441696,0.5152594705175759
119,1,1.150893510371239,1.4469654983795237,0.21710720593873406,1.3514259604440417,0.04310436573284212,0.2944678073829125,0.5056845583871433
120,1,0.8315423056109803,1.628984153860467,0.7666867461347487,1.8621922434979865,0.095855620878496,0.3515257559023044,0.5483598850458203
121,1,1.4767383007448935,0.44484273466029256,2.714423450608433,1.158052206820281,0.24754831329869953,0.17775722754664644,0.5745554907203319
122,1,1.6558258036612925,2.3907357770539144,0.5100027293718103,0.943145803732192,0.06515353565847277,0.36257884306956256,0.5361671598622215
123,1,0.5668793139239825,0.5215406697076623,1.2016939199889152,1.2645538619546517,0.10618949174016241,0.3375222021332586,0.5495262172823445
124,1,2.508540101719402,2.604127192781583,0.9853545105872451,0.5608937261769938,0.13675244783781337,0.3046148630299875,0.5553948604876194
125,1,9.12445271443856,4.40925007715767,0.9289676026431021,0.5259609690495198,0.1833564944877713,0.24808682995156267,0.5625496964218079
126,1,0.7462729314964975,1.214194646635689,2.1850700570980073,1.9535069903400435,0.18263626779394862,0.2534484665172474,0.5637224266889588
127,1,1.3509042293913036,0.8430673696699968,1.123196034911281,0.8068868531740248,0.14555095136277393,0.29170002920202176,0.5561120631849574
128,1,1.0502195034736692,0.9310828108437363,1.4374660062076927,0.2723935909874609,0.11369036506059817,0.3307501968628596,0.5513186690880054
129,1,0.7875834791847963,0.8177249340755965,0.45793991333383527,0.8875290916792267,0.058074649717303604,0.33311104763927574,0.5242097692088147
130,1,0.48298906664553043,0.6318791966646479,0.8186445983913015,0.8395536811637857,0.05710122627709738,0.3734756081949064,0.5352551209521644
131,1,0.6727675762554571,2.143099752265134,1.1490780426957605,1.2494112933076833,0.09056920085465273,0.36056113695687975,0.5482914506878864
132,1,1.1747023223403996,0.6303480728874026,0.54329323363047,1.786042986119351,0.12288857840776576,0.2865097220235894,0.5433029049970678
133,1,0.7835678903815794,0.2942108997442552,0.21895953855626177,1.1655423419082749,0.08243010877712634,0.20846192831124438,0.5007746734498603
